@relation sheet
@attribute in1 real
@attribute in2 real
@attribute in3 real
@attribute in4 real
@attribute in5 real
@attribute in6 real
@attribute in7 real
@attribute in8 real
@attribute in9 real
@attribute in10 real
@attribute in11 real
@attribute in12 real
@attribute class {Pass,Fail}
@data
1856,0,1,1557,514,9445,1,1209,154,1,1,0,Pass
874,1,0,9633,777,6919,0,413,501,1,2,2,Pass
301,1,0,3437,605,4093,0,1057,1803,0,1,2,Pass
182,1,1,2030,966,6125,1,1826,1302,0,0,1,Pass
734,0,0,6409,589,2744,0,1287,260,1,0,0,Pass
838,1,1,1412,739,1768,1,705,1484,0,0,1,Pass
968,0,1,2418,973,9949,0,1851,19,0,1,1,Pass
1794,1,0,7650,924,2813,0,34,820,0,0,2,Pass
678,0,0,6765,408,3167,2,1225,38,0,2,2,Pass
1972,1,1,7474,420,6427,2,613,367,1,0,1,Pass
1008,1,0,4521,684,7353,0,1176,78,1,0,2,Pass
615,0,1,8233,82,9643,1,580,13,1,0,2,Pass
1412,0,1,3213,296,8065,3,1909,1341,0,2,1,Pass
121,1,1,2914,200,2241,0,307,452,0,1,1,Pass
1169,0,0,9790,223,1096,0,1851,1688,0,0,2,Pass
1642,0,0,3685,247,2200,0,738,247,0,2,0,Pass
1207,0,0,5046,51,8935,3,846,1159,1,2,2,Pass
1483,0,0,5749,180,4184,0,504,255,0,1,2,Pass
1881,0,0,5885,211,9794,3,1833,273,1,0,0,Pass
1904,1,1,7756,903,8291,3,120,631,0,1,2,Pass
812,0,1,7554,910,7783,0,1606,1697,1,0,2,Pass
351,1,1,4431,728,4353,0,1199,1816,0,1,0,Pass
135,0,0,6897,813,6430,3,581,1748,0,2,0,Pass
1936,0,1,2943,617,9610,0,1730,161,0,1,0,Pass
273,0,1,6045,278,6968,2,162,1977,1,2,0,Pass
1916,1,0,9748,367,5195,1,531,1443,0,1,2,Pass
1990,0,0,7013,629,6611,3,1794,1472,0,0,2,Pass
1982,1,1,2131,849,7086,3,43,333,0,0,1,Pass
1442,0,1,8706,634,7364,2,1973,1900,0,0,0,Pass
1493,1,0,6920,416,5349,3,1088,1813,1,0,2,Pass
1701,0,1,4534,518,4522,3,1524,1393,0,0,2,Pass
1761,0,0,1083,14,5326,0,847,1295,1,1,1,Pass
271,0,0,4749,806,6256,0,1907,760,1,1,0,Pass
1170,0,1,1709,280,9855,2,625,420,0,0,0,Pass
626,0,1,7758,462,2010,2,1022,39,1,0,1,Pass
237,0,1,9002,837,3578,3,1881,1549,1,0,2,Pass
691,0,1,6506,536,9221,2,1374,986,0,0,2,Pass
1655,1,1,7223,453,4697,1,1267,1014,0,2,0,Pass
745,0,0,5354,788,2874,0,1764,1309,0,1,2,Pass
40,0,0,2436,242,7617,2,1061,205,1,0,1,Pass
492,0,1,7379,454,1786,2,1771,1855,1,0,1,Pass
730,1,1,3403,267,9521,1,800,240,1,0,2,Pass
1560,0,0,4420,996,1121,2,409,434,0,2,2,Pass
1880,0,1,8589,589,3682,3,350,1603,0,0,1,Pass
105,1,1,2373,773,4102,2,542,1191,1,0,0,Pass
1904,0,1,7818,657,8439,3,1267,664,1,2,1,Pass
877,1,1,1065,571,8152,1,1201,291,1,1,0,Pass
114,1,0,1496,730,2462,0,111,918,1,0,1,Pass
1094,1,1,9515,627,2881,1,184,1020,1,2,2,Pass
47,0,1,4058,700,5260,3,1226,1507,1,0,0,Pass
438,1,0,1667,521,1222,3,800,1901,0,2,1,Pass
988,1,1,5561,814,4307,2,869,1194,0,1,0,Pass
769,0,1,8960,749,8083,3,1071,1871,0,0,1,Pass
109,0,0,7452,545,8782,3,686,919,1,2,0,Pass
367,1,1,7262,360,5505,0,1928,1902,0,2,2,Pass
1018,1,0,7827,392,1857,2,810,22,0,1,1,Pass
1176,1,0,5328,408,2451,1,1013,186,1,1,2,Pass
1518,1,0,3542,439,796,1,587,1176,1,1,1,Pass
1350,1,1,4694,145,7459,1,429,1220,0,2,2,Pass
260,0,0,2601,717,5656,3,1179,591,0,2,0,Pass
696,1,0,7287,35,3208,2,175,318,0,1,0,Pass
937,0,0,601,98,6823,3,1533,222,1,0,2,Pass
1386,1,1,6646,127,5378,2,1923,156,0,2,2,Pass
1629,0,1,3647,809,3719,1,290,1386,1,1,2,Pass
926,0,0,9056,194,42,1,318,1749,1,2,1,Pass
1746,1,0,9115,384,2414,3,1328,1580,1,0,1,Pass
662,0,0,1818,169,3285,1,958,1219,1,0,2,Pass
156,1,1,73,612,445,0,411,525,0,0,1,Pass
904,0,1,6965,99,1025,1,216,944,0,2,0,Pass
657,1,0,2286,758,7696,0,703,233,1,2,1,Pass
777,1,1,813,267,3861,2,1024,872,0,1,2,Pass
567,1,0,8489,410,2251,2,1906,1022,1,0,2,Pass
1988,1,1,7572,588,3923,2,1568,426,1,1,2,Pass
1064,0,0,3797,883,221,2,1173,1978,0,2,1,Pass
609,1,0,5418,76,1880,2,621,1926,1,2,1,Pass
1586,1,1,1157,992,9967,0,1202,1521,1,1,2,Pass
1630,1,1,5799,610,1657,1,376,177,1,2,0,Pass
784,0,0,6421,731,4389,1,958,1893,0,1,0,Pass
1098,0,0,5022,193,7847,3,1098,525,0,0,0,Pass
1443,1,0,4638,725,5194,3,1863,1693,0,1,1,Pass
1541,1,1,5211,203,3450,1,1125,739,0,0,0,Pass
988,1,0,65,44,22,2,1190,1151,1,2,2,Pass
1331,1,1,6020,335,8504,3,1032,906,0,1,2,Pass
191,0,0,9433,934,5306,2,76,854,1,0,0,Pass
1111,1,0,5177,564,110,2,1226,909,0,0,1,Pass
1954,1,0,6700,620,4912,0,391,1742,0,2,1,Pass
232,1,0,5190,876,196,1,1309,1369,0,0,1,Pass
93,0,1,1529,432,1663,3,1085,851,0,1,2,Pass
1903,0,0,1567,115,6811,0,683,1965,1,0,2,Pass
857,1,0,698,311,4788,1,1886,871,0,2,2,Pass
903,1,1,4849,813,9377,0,1338,1993,1,2,1,Pass
1730,0,1,49,64,9992,3,1812,1945,1,0,2,Pass
1197,1,0,2135,100,6474,3,843,64,0,0,1,Pass
1941,0,1,4654,364,3568,1,517,1135,1,0,1,Pass
335,0,1,561,745,7687,3,421,1927,1,2,0,Pass
1634,1,1,9990,741,7814,0,1679,1373,1,2,0,Pass
1485,1,1,4124,351,8930,0,77,1636,0,2,0,Pass
539,1,0,6715,184,8499,2,1977,412,0,2,1,Pass
1099,1,0,5760,819,6079,0,624,272,1,0,0,Pass
1396,0,1,2522,764,7688,3,1384,1046,0,1,1,Pass
1070,1,0,1676,311,3371,2,1237,534,1,2,0,Pass
819,0,1,9303,57,958,2,262,1141,0,1,0,Pass
539,0,0,6714,587,1822,1,1598,339,1,1,2,Pass
910,1,0,1793,410,9324,1,538,1271,0,2,0,Pass
1739,1,1,1296,627,2171,3,695,868,1,2,0,Pass
672,1,1,3410,851,3232,0,709,541,0,1,2,Pass
1274,0,1,1163,885,2701,0,948,1099,1,2,2,Pass
244,0,1,5231,628,9539,1,577,1751,0,0,1,Pass
1684,1,1,5892,216,9867,2,1862,251,1,2,2,Pass
56,1,1,2227,813,7288,2,451,1499,0,2,2,Pass
1799,0,0,3438,343,9700,1,245,856,0,2,0,Pass
172,0,1,6342,97,8172,3,1529,1964,0,2,1,Pass
1701,0,0,8389,692,5314,0,453,361,1,0,1,Pass
17,0,1,9819,21,3206,1,1548,1124,0,1,2,Pass
1264,0,0,2735,990,8649,0,1700,1255,0,1,2,Pass
604,1,1,8843,982,5751,2,190,699,1,1,1,Pass
61,1,1,5101,788,55,1,1896,1500,0,0,2,Pass
753,0,1,1518,878,2522,1,795,1373,1,0,2,Pass
1745,0,1,6585,664,7748,1,452,4,1,0,2,Pass
280,1,0,914,512,8003,1,938,825,1,0,2,Pass
1815,1,0,3047,694,1683,3,995,1984,0,2,1,Pass
1308,1,0,8992,312,3842,2,507,205,0,0,2,Pass
1241,1,0,7079,826,9598,1,938,1550,1,0,1,Pass
840,0,1,5084,669,3055,3,905,268,1,1,1,Pass
1843,1,1,2945,790,6219,2,89,67,1,1,1,Pass
1209,0,1,9268,79,8062,2,1016,1833,1,1,1,Pass
372,1,1,5606,11,9996,2,969,834,0,1,0,Pass
416,1,0,6959,274,3788,1,919,1113,0,1,2,Pass
1709,0,0,3748,564,5545,2,1886,211,0,0,1,Pass
1965,1,0,9950,145,4127,3,61,373,0,0,2,Pass
1985,1,1,7104,743,9511,0,276,382,0,0,0,Pass
165,1,0,4430,764,4632,2,334,1638,1,2,0,Pass
292,0,0,4588,371,6659,3,1956,173,1,0,0,Pass
1405,1,0,7938,572,4355,0,1879,1400,1,1,2,Pass
92,1,1,4258,515,6486,2,1071,1438,1,2,1,Pass
1437,1,1,3739,490,8307,1,428,1353,0,0,2,Pass
1364,0,0,342,834,498,2,432,1263,0,1,1,Pass
239,1,1,4898,948,5881,3,1343,1048,1,0,1,Pass
1300,0,1,934,894,3649,2,1821,753,0,1,0,Pass
782,0,1,8203,329,525,1,1563,390,1,2,2,Pass
250,0,1,4284,767,9995,3,69,999,1,2,1,Pass
1289,0,1,8499,416,1762,1,1907,281,1,1,2,Pass
869,1,1,7800,677,9072,0,1586,1668,1,0,0,Pass
702,0,0,1665,998,1989,0,166,1508,0,2,2,Pass
1766,0,0,2249,357,5048,0,1799,337,0,0,0,Pass
831,1,0,3655,454,9037,0,877,1825,1,1,2,Pass
1070,0,0,4900,965,3449,2,417,821,0,2,1,Pass
1392,0,1,6896,207,379,3,794,1624,0,2,0,Pass
1603,1,0,5082,164,351,2,1945,875,0,1,0,Pass
1976,1,1,2867,313,1145,1,809,1302,0,0,2,Pass
875,0,0,5254,588,4516,3,1950,112,0,0,0,Pass
156,1,1,6493,497,4974,0,769,1079,1,1,1,Pass
960,1,0,587,161,4776,2,1806,995,1,1,2,Pass
1336,1,1,8761,961,1926,1,1586,1516,1,1,0,Pass
347,0,1,5832,744,3337,3,653,260,0,1,2,Pass
487,1,0,186,273,4093,2,632,1511,0,1,0,Pass
1354,1,1,9685,569,1851,1,1834,598,1,1,1,Pass
1334,0,1,1758,930,4884,2,1189,1771,0,2,0,Pass
714,1,1,6390,877,2271,0,656,222,1,1,2,Pass
262,1,1,5115,926,9832,2,1945,1758,0,2,2,Pass
398,0,0,646,617,5471,1,1425,1490,0,1,1,Pass
1927,0,1,500,746,4065,3,1644,1767,1,1,1,Pass
23,1,0,3643,674,3070,1,571,1932,0,2,1,Pass
782,1,0,8580,845,2911,1,1152,608,0,0,0,Pass
730,1,0,8151,880,2235,2,822,1589,0,2,2,Pass
1200,1,0,5072,943,7598,1,962,869,1,2,2,Pass
927,0,0,5412,884,8621,1,546,346,0,2,1,Pass
1301,1,1,3143,571,2993,2,745,595,1,2,1,Pass
812,0,1,9126,578,1767,3,1036,1003,1,1,2,Pass
343,1,0,5428,438,1113,2,404,1419,0,0,0,Pass
1998,1,0,8892,264,4708,1,1577,887,0,2,1,Pass
1554,1,1,1354,606,190,0,1439,1470,0,0,2,Pass
1841,1,1,2973,677,1066,0,1304,466,0,1,1,Pass
146,0,0,7573,820,9203,2,653,191,1,1,0,Pass
116,0,0,9501,20,4682,0,1266,1264,1,2,1,Pass
1576,0,1,5854,995,1157,3,1022,901,0,0,0,Pass
1207,0,0,3608,991,4061,1,956,1512,1,1,0,Pass
1173,1,0,7398,127,571,1,1721,182,1,2,2,Pass
60,1,1,8741,357,8759,3,1506,1027,1,1,1,Pass
574,1,0,5176,976,9077,1,1041,270,1,0,1,Pass
74,1,1,3715,813,9894,1,1883,1643,1,1,0,Pass
471,1,1,6282,741,5776,2,1266,886,0,1,0,Pass
246,0,0,9581,81,6178,2,571,1036,0,1,0,Pass
521,0,1,3627,338,7487,3,1891,1534,1,2,0,Pass
665,0,0,7720,133,9165,1,779,1591,0,2,1,Pass
1965,0,1,2212,915,9649,1,693,212,1,1,0,Pass
1246,0,0,1410,726,1314,3,1409,282,0,0,2,Pass
430,0,0,9962,182,7985,2,1633,363,1,2,1,Pass
273,0,0,7380,116,8889,3,1006,922,0,1,1,Pass
1804,0,1,6809,262,2752,3,1164,294,1,0,0,Pass
1617,0,0,6640,969,6128,2,1129,1003,0,2,2,Pass
1876,0,1,7225,812,5499,3,1861,1114,1,2,2,Pass
223,0,1,3954,503,5586,3,1959,658,1,1,2,Pass
1642,0,1,188,724,9290,3,1444,864,0,2,1,Pass
574,1,0,5521,174,8595,0,1525,506,1,2,1,Pass
800,1,1,7180,478,9325,0,620,802,1,1,1,Pass
194,1,1,1741,845,720,3,650,1357,0,1,2,Pass
1164,0,0,3168,579,5119,0,1640,602,1,0,0,Pass
657,1,0,1345,709,2962,1,664,1575,0,1,0,Pass
966,1,0,3798,20,3542,2,1376,966,0,1,2,Pass
613,0,1,5825,154,7962,1,1883,679,1,1,1,Pass
1976,0,0,1401,608,2239,2,100,1623,1,1,0,Pass
489,0,1,6156,850,6005,1,1415,350,0,1,1,Pass
1565,0,1,2683,411,3333,2,1405,1966,0,0,2,Pass
680,0,0,1818,261,7383,1,1708,1518,1,2,2,Pass
1748,0,1,3818,664,3466,1,786,750,0,1,0,Pass
450,0,0,6509,427,8834,3,884,109,0,2,1,Pass
379,1,1,5550,480,9803,2,1487,1694,0,1,0,Pass
776,0,1,9442,330,704,3,835,1968,0,2,0,Pass
1012,0,0,7079,25,9039,1,1375,421,0,2,0,Pass
971,1,1,4751,886,1075,3,1060,738,0,1,2,Pass
1427,1,0,1170,425,3398,1,898,1676,1,0,0,Pass
401,0,0,7558,647,8859,3,481,1787,1,2,0,Pass
1823,1,1,2131,577,2556,2,53,1775,0,1,2,Pass
321,0,0,8127,263,1614,0,1626,105,0,0,2,Pass
1518,1,1,1835,611,9670,3,256,957,0,0,1,Pass
482,1,1,1840,130,799,2,1179,1627,0,0,2,Pass
1785,1,0,6386,797,5363,2,369,244,1,1,2,Pass
1537,0,0,7592,133,2682,1,361,865,0,2,2,Pass
1710,0,1,7757,796,6347,2,1333,1719,0,0,0,Pass
264,0,0,1710,448,949,0,1556,239,0,2,1,Pass
826,1,1,8503,778,3874,3,1118,1641,1,1,1,Pass
1560,1,1,7636,52,9648,2,1205,839,1,0,2,Pass
1851,1,1,4746,929,8212,3,1020,528,0,0,0,Pass
433,1,1,361,542,8885,0,1407,1955,1,0,1,Pass
53,1,1,5703,662,6329,3,328,563,1,1,1,Pass
1429,1,0,3665,931,503,1,881,1721,1,2,1,Pass
1770,0,0,3064,24,9777,0,1442,1084,0,1,0,Pass
25,0,1,4557,803,484,2,48,901,0,0,1,Pass
608,0,0,3235,79,5287,3,1433,679,1,1,2,Pass
212,1,0,3560,199,3030,2,1856,916,1,1,2,Pass
623,0,1,8248,358,3121,2,1826,1138,0,2,1,Pass
815,1,0,8919,203,3116,1,1948,1379,0,1,0,Pass
1313,1,1,9648,474,8636,0,302,1852,0,1,1,Pass
644,1,1,4646,29,8980,3,1063,1669,1,1,2,Pass
1137,1,1,9999,209,8931,0,774,1975,0,2,0,Pass
464,0,1,4256,605,6051,1,1284,75,1,2,1,Pass
846,1,0,9298,836,5624,2,1489,870,0,0,1,Pass
1186,0,0,8023,307,2234,0,921,1770,1,1,2,Pass
1670,0,0,7152,150,1015,1,716,720,0,0,0,Pass
1690,1,0,8966,765,1313,0,1372,1961,0,1,0,Pass
1547,1,1,139,276,2249,1,1967,1531,1,2,2,Pass
795,0,1,8837,423,9646,1,1449,497,0,2,2,Pass
1266,1,0,2174,699,6845,0,1821,50,1,2,2,Pass
1993,1,1,3091,545,4334,3,425,204,0,2,2,Pass
767,1,1,7631,486,7184,1,899,1969,0,1,2,Pass
1052,1,0,9004,413,9481,2,1819,1574,1,0,2,Pass
699,0,0,9518,813,7860,1,999,1733,1,1,2,Pass
428,1,0,8979,47,7792,0,1645,576,0,1,0,Pass
783,1,0,7059,256,4507,2,216,765,0,1,1,Pass
1748,0,1,4520,108,9841,3,787,1993,1,2,1,Pass
119,1,1,4018,258,4172,0,1539,1804,1,1,0,Pass
1296,1,1,2978,388,8209,1,1772,867,1,2,1,Pass
448,1,1,7864,431,8699,3,1467,1829,1,1,1,Pass
1952,0,0,5700,104,9359,2,419,149,0,1,1,Pass
1323,0,0,6318,408,7204,0,1566,830,1,0,0,Pass
35,1,1,2538,93,8342,0,1898,1268,1,2,0,Pass
1896,0,1,9796,529,9311,0,1141,1262,1,1,2,Pass
1517,1,1,5387,48,4249,2,1663,1225,0,1,0,Pass
1308,0,1,4405,267,1323,2,1139,1343,1,2,2,Pass
753,1,1,5000,641,4215,0,378,30,0,2,0,Pass
556,0,0,6024,348,4342,0,500,1213,1,0,1,Pass
424,1,0,1386,225,4056,2,955,385,0,2,1,Pass
1201,1,1,2636,793,1714,1,942,310,1,1,1,Pass
1225,0,0,7510,772,8125,3,1247,1873,1,1,2,Pass
1427,0,1,6746,909,496,3,386,1289,1,1,1,Pass
1328,0,0,8219,760,2018,2,91,349,0,2,0,Pass
670,0,0,101,384,6647,1,106,776,0,1,0,Pass
137,1,1,3858,285,9901,1,141,648,1,1,1,Pass
1184,0,1,6731,121,2364,0,1579,1510,0,1,1,Pass
1330,1,0,4795,836,2319,2,1233,1160,0,1,2,Pass
937,0,0,8836,301,7946,1,1923,970,1,0,1,Pass
572,1,1,2885,520,3265,0,600,1922,1,0,0,Pass
1979,1,0,6497,391,5690,1,1354,986,1,1,2,Pass
779,1,0,740,0,4808,3,33,1825,1,1,2,Pass
1849,0,1,3661,838,5035,1,1300,946,0,1,0,Pass
738,1,0,683,11,544,0,1635,349,0,2,1,Pass
72,1,0,6158,379,3305,0,1915,1291,0,2,2,Pass
120,0,1,1011,276,2082,0,319,164,1,0,2,Pass
145,1,1,1507,952,7113,3,520,981,0,2,0,Pass
1575,1,0,4944,276,5232,0,1746,117,0,2,0,Pass
749,1,1,9814,91,4362,0,378,302,0,0,0,Pass
168,1,0,9842,531,422,0,463,1217,0,1,0,Pass
1560,0,1,2905,401,6340,1,172,1881,0,1,1,Pass
937,1,1,1712,928,3034,1,535,953,0,1,0,Pass
1215,1,0,7579,604,4314,1,1650,1065,1,0,0,Pass
1608,0,0,621,781,5052,2,1155,339,1,0,0,Pass
1203,0,1,9780,446,970,0,570,1220,1,1,1,Pass
1445,1,1,9334,381,9845,3,1079,1429,1,2,0,Pass
1172,1,1,9651,381,4715,2,1742,225,0,2,1,Pass
1141,1,0,8352,998,1962,1,896,585,0,1,1,Pass
1511,1,0,1333,117,5981,0,1423,314,1,0,1,Pass
922,1,1,4509,200,5496,2,5,1880,1,1,1,Pass
865,1,0,5808,74,7499,0,1369,1580,0,2,1,Pass
380,0,1,9462,740,6856,3,968,111,1,0,2,Pass
1595,0,0,2370,516,5466,1,1109,626,1,0,1,Pass
1652,0,0,3281,438,972,1,1317,958,1,0,0,Pass
1757,0,1,3734,992,1817,3,1665,174,1,2,2,Pass
1692,0,1,8395,4,8910,0,1104,165,0,2,1,Pass
467,1,1,4574,423,3474,2,1640,193,0,0,0,Pass
1185,0,0,5453,726,1366,3,1226,694,0,2,1,Pass
268,0,0,9752,87,1686,2,991,558,1,0,1,Pass
770,1,1,6618,724,1732,1,1419,1126,0,2,1,Pass
1126,1,1,9051,772,5860,1,116,604,0,0,1,Pass
47,1,0,62,308,3312,3,1255,1996,0,1,2,Pass
35,0,1,2458,266,1873,2,1200,1858,1,1,2,Pass
315,0,0,4239,986,6448,3,123,513,1,0,2,Pass
1208,1,0,6831,777,5984,0,1284,1913,0,2,1,Pass
1595,1,1,2893,350,3664,3,1168,127,1,0,0,Pass
1193,0,1,7503,544,8218,0,1918,750,0,2,1,Pass
1525,0,1,2884,643,5594,0,1718,1059,0,1,0,Pass
175,1,0,4731,83,2436,2,1268,622,0,0,2,Pass
994,0,0,104,474,8110,0,345,731,1,2,0,Pass
1699,1,1,3947,606,687,0,1382,1528,1,1,0,Pass
493,0,1,7143,251,9402,2,270,9,1,1,1,Pass
225,1,1,2547,928,1554,2,47,671,1,2,2,Pass
594,1,1,4393,997,1154,0,1333,1647,1,1,1,Pass
1398,1,0,8609,522,3792,1,1267,406,1,0,0,Pass
400,1,0,2209,778,6359,0,86,49,1,1,2,Pass
835,1,0,7836,262,263,3,1057,627,1,2,2,Pass
1673,0,1,4204,853,9715,0,135,103,0,0,0,Pass
857,1,1,6197,544,7069,2,944,349,1,1,0,Pass
221,1,0,2528,740,6313,1,1507,1881,0,0,0,Pass
1131,1,1,2536,393,68,2,148,1998,1,0,0,Pass
499,0,1,8701,207,6328,0,1619,210,1,0,0,Pass
1695,1,0,7930,319,8294,1,426,18,1,0,2,Pass
1905,1,0,9821,247,7111,3,520,926,1,2,2,Pass
973,1,1,6843,239,5080,3,678,535,0,1,2,Pass
255,0,1,6214,720,8713,2,413,652,0,2,2,Pass
1823,1,1,21,900,570,1,874,924,0,2,1,Pass
361,1,1,7253,897,4489,1,232,1053,1,2,2,Pass
449,1,0,857,510,9427,0,433,1827,1,1,2,Pass
1291,1,1,7220,79,9054,2,808,148,0,2,1,Pass
1183,0,0,7623,325,2247,2,1214,191,0,1,2,Pass
627,1,1,1571,934,4886,1,839,1397,1,2,1,Pass
698,1,1,3941,835,5124,0,880,775,1,1,2,Pass
738,1,1,7713,208,8749,3,328,1926,1,0,1,Pass
1572,0,1,21,310,9679,0,112,1234,0,2,1,Pass
588,1,1,5571,740,9638,1,296,754,0,0,0,Pass
1952,0,0,7922,181,8506,0,383,329,0,2,2,Pass
1780,1,0,8442,26,2047,1,1935,833,0,2,2,Pass
691,0,0,3539,350,1264,3,28,1065,1,1,0,Pass
1474,0,0,3616,306,4880,0,1583,1089,1,1,0,Pass
1526,1,0,7525,15,5302,2,283,1439,1,1,0,Pass
349,0,1,9578,217,8843,0,1506,1233,1,0,0,Pass
290,1,0,1779,851,586,2,573,266,1,0,0,Pass
418,1,1,3430,740,4732,0,1503,242,0,1,0,Pass
1603,1,1,9760,768,3446,3,125,173,0,1,1,Pass
1867,0,1,4589,635,8233,2,1221,53,1,1,2,Pass
1302,0,0,3145,376,4588,3,1567,635,0,0,2,Pass
553,1,0,6016,656,2977,3,652,1392,1,2,0,Pass
412,0,1,4663,269,1898,1,1954,826,0,0,0,Pass
1020,0,0,3645,358,1279,3,1337,1082,1,2,1,Pass
726,0,1,4362,213,3703,2,1198,929,1,0,2,Pass
886,1,1,9562,547,1687,1,345,650,0,1,0,Pass
583,0,1,7277,869,3554,3,933,75,0,2,2,Pass
653,0,1,8503,287,3702,2,1892,940,1,2,2,Pass
869,1,0,4471,878,5096,3,1044,866,1,0,2,Pass
854,1,0,5726,515,1125,0,1978,1661,0,1,0,Pass
601,0,0,5223,843,1517,3,1458,1317,0,0,1,Pass
1675,0,1,2085,203,533,1,824,187,1,1,2,Pass
699,0,0,6342,849,6272,3,1310,547,0,0,0,Pass
134,0,0,5866,349,3091,2,915,406,1,2,0,Pass
215,0,1,2503,174,8651,0,196,1358,0,0,2,Pass
1860,1,0,4516,585,2563,3,1914,1315,0,2,2,Pass
1259,1,0,6440,803,3519,2,1719,1289,0,1,0,Pass
84,0,1,9991,552,4551,0,1462,1524,0,0,0,Pass
1000,1,1,7601,843,8666,2,214,635,1,1,2,Pass
1398,1,0,2543,677,7641,0,843,113,0,0,1,Pass
509,1,1,2547,851,1812,0,1130,987,0,2,0,Pass
1757,0,1,8227,495,3099,2,1943,1251,1,0,2,Pass
496,1,1,2937,145,3324,1,1589,1458,0,1,2,Pass
766,1,0,7810,486,8205,2,609,1748,1,2,0,Pass
757,1,1,233,429,2238,2,803,1677,1,2,0,Pass
735,1,0,2647,586,885,1,1883,385,0,0,2,Pass
5,0,1,6242,139,3934,0,1628,1257,0,2,1,Pass
137,0,1,5319,584,198,0,511,776,1,2,2,Pass
585,0,1,4317,855,92,3,190,373,0,0,1,Pass
1879,1,0,3920,861,2157,2,1427,1595,1,2,2,Pass
653,1,1,7599,256,9921,2,1829,1732,0,2,2,Pass
1974,1,0,6795,297,94,2,1079,1468,0,2,2,Pass
1087,1,1,1220,975,3295,3,821,1625,1,2,1,Pass
1475,1,1,7177,550,2185,1,260,1600,1,0,2,Pass
205,0,0,6164,790,6340,1,1821,858,1,0,1,Pass
1568,1,1,2792,151,8746,0,1118,525,0,2,2,Pass
363,1,1,8737,441,1382,3,1477,78,1,0,2,Pass
768,1,1,270,658,3459,0,434,1180,0,2,2,Pass
715,0,0,5653,465,4807,0,752,1023,0,1,0,Pass
