@relation sheet
@attribute in1 real
@attribute in2 real
@attribute in3 real
@attribute in4 real
@attribute in5 real
@attribute in6 real
@attribute in7 real
@attribute in8 real
@attribute in9 real
@attribute in10 real
@attribute in11 real
@attribute in12 real
@attribute class {Pass,Fail}
@data
770,0,1,6320,785,1753,0,1110,83,0,0,2,Pass
1241,0,0,6397,191,1297,3,166,1951,1,1,1,Pass
879,0,0,164,394,8156,2,1756,1292,1,0,1,Pass
1047,0,1,109,235,1408,1,921,1554,1,0,2,Pass
146,1,1,1369,195,2775,0,51,1272,1,1,0,Pass
1490,1,0,8654,456,2551,2,1933,267,1,1,1,Pass
534,1,1,1269,307,5524,3,535,184,0,1,0,Pass
1320,1,1,9016,949,7276,1,623,1052,0,0,2,Pass
745,0,0,4355,905,2695,1,1116,191,1,1,2,Pass
1718,1,0,3901,397,9072,0,554,1160,0,0,2,Pass
1019,0,0,4187,801,7979,3,1055,435,0,2,2,Pass
285,1,1,3258,642,412,0,946,311,1,2,1,Pass
1389,1,1,3504,136,296,0,1754,557,1,2,0,Pass
1952,1,1,6278,731,1572,1,178,1058,0,0,2,Pass
1539,0,0,9052,756,1951,1,464,53,0,2,2,Pass
420,0,0,6480,207,5350,0,1268,195,0,2,2,Pass
339,0,1,4276,941,3419,2,1387,1639,1,0,2,Pass
815,0,1,3172,640,3338,3,1160,1063,1,0,1,Pass
645,0,1,9449,352,4385,0,468,370,1,0,0,Pass
1098,0,0,3493,241,7122,3,506,445,1,0,0,Pass
1826,0,0,4275,151,7135,2,777,676,1,1,1,Pass
1553,0,0,6515,89,1449,1,1695,757,1,1,1,Pass
693,0,0,5239,522,4847,1,455,1551,1,2,2,Pass
1150,1,0,2468,727,7031,3,1623,674,0,2,1,Pass
765,1,0,7537,402,7107,3,32,280,0,2,2,Pass
82,0,0,2669,92,2298,0,939,585,0,0,1,Pass
1514,1,0,8121,953,4857,2,1317,1779,1,0,1,Pass
1788,1,1,8074,637,5469,3,271,880,1,0,2,Pass
76,1,0,944,668,8391,2,1004,1625,0,2,2,Pass
16,1,0,5824,943,932,0,639,240,0,1,1,Pass
552,1,0,3506,537,2783,3,1129,1971,1,0,2,Pass
546,0,0,3840,329,7756,2,996,580,0,2,1,Pass
19,0,1,7812,66,5738,0,183,1069,1,1,1,Pass
1353,1,1,3285,630,4782,3,1519,105,0,1,1,Pass
373,1,1,5606,969,5199,0,1950,1637,1,2,0,Pass
494,0,1,4164,665,6123,1,811,1580,0,1,2,Pass
136,0,0,3090,547,3965,3,1918,473,0,0,2,Pass
299,0,0,2122,344,7711,2,1374,1951,0,1,2,Pass
855,0,1,7465,790,7467,0,737,1469,0,1,2,Pass
717,1,1,512,314,2945,3,1624,1541,0,0,0,Pass
1520,1,0,9051,699,4509,2,1996,1763,1,1,2,Pass
162,1,0,3592,826,1232,1,1776,850,0,2,1,Pass
1251,1,0,3854,140,9072,0,381,1730,0,0,2,Pass
1452,1,0,1488,402,2054,3,1260,1165,0,0,2,Pass
401,0,0,3173,640,4668,2,1340,992,1,1,1,Pass
1212,1,0,2172,225,6872,1,1209,1470,1,1,0,Pass
1391,0,0,1529,563,8192,2,748,1128,1,1,0,Pass
745,0,0,5855,446,8578,2,1581,705,1,1,2,Pass
833,1,0,1457,935,5943,0,1482,1094,1,0,0,Pass
1944,0,0,1090,579,8622,3,1499,1730,1,0,2,Pass
1023,0,0,9037,31,136,3,524,518,0,1,1,Pass
433,1,0,681,843,6908,2,1133,1151,0,1,2,Pass
820,1,0,5317,671,2400,1,770,873,0,0,1,Pass
1121,0,1,163,269,4793,1,1530,682,0,0,2,Pass
283,1,0,7245,829,7849,1,694,1089,1,0,2,Pass
147,1,1,5786,808,955,0,1121,788,1,0,1,Pass
1025,1,1,66,820,805,0,94,209,0,2,0,Pass
54,0,1,2654,117,8962,3,794,131,1,1,2,Pass
326,1,0,5421,972,2,2,1975,734,1,0,0,Pass
827,0,0,8348,953,7991,0,554,654,1,1,0,Pass
1517,0,0,9166,612,8230,3,347,577,0,2,2,Pass
645,1,1,5643,521,8703,3,143,573,1,0,2,Pass
839,0,0,2081,745,4786,1,363,339,0,2,2,Pass
295,1,0,7980,300,9352,2,1438,1434,0,0,1,Pass
221,0,0,3275,332,1410,2,659,832,0,1,2,Pass
1066,1,0,6392,469,4313,0,347,1219,1,1,2,Pass
932,1,1,7387,424,1370,2,1628,1014,1,0,1,Pass
1125,0,0,3349,31,6660,3,1056,182,1,2,1,Pass
951,1,0,204,971,5481,2,660,819,1,1,1,Pass
1620,0,0,5472,144,8982,1,1762,452,0,1,1,Pass
1585,1,1,4497,129,8936,1,1494,907,0,0,2,Pass
226,1,0,5186,415,436,3,1586,175,1,1,2,Pass
1440,1,0,6534,621,922,0,1607,800,1,1,1,Pass
927,0,0,3646,935,8223,3,361,493,1,0,1,Pass
228,0,1,1156,0,7100,3,229,89,1,1,2,Pass
1531,1,1,4255,154,2384,2,1833,1891,0,1,1,Pass
1790,1,0,9740,632,726,2,1816,1228,1,2,2,Pass
1881,1,0,1485,103,4282,1,1121,811,1,2,2,Pass
1554,0,0,1593,459,7558,0,227,1956,1,1,1,Pass
1470,0,0,4200,949,173,3,1208,1871,0,0,1,Pass
1223,0,0,593,649,8698,1,1539,317,0,0,1,Pass
161,0,0,506,46,9072,0,1296,845,0,0,1,Pass
1570,0,0,5603,846,3525,2,1374,1491,1,2,1,Pass
1625,1,1,7223,286,549,0,1059,113,0,1,2,Pass
783,1,1,4873,847,2488,1,884,1400,1,0,1,Pass
194,1,1,8527,401,343,0,471,942,1,0,1,Pass
1609,1,0,3861,601,1481,1,704,1931,1,2,2,Pass
89,0,1,9753,881,6670,1,1549,343,1,0,1,Pass
1357,1,0,2199,422,2429,1,102,418,0,0,2,Pass
1227,1,0,552,399,8088,3,1052,174,0,1,2,Pass
571,1,1,84,696,9697,2,148,818,0,1,0,Pass
1371,0,1,441,758,4896,1,1113,573,0,2,1,Pass
1526,1,1,8254,188,555,2,1668,770,0,0,2,Pass
1354,1,0,4545,299,809,1,753,1034,0,2,2,Pass
1231,1,0,7106,896,6492,0,471,12,0,0,1,Pass
797,0,0,6898,824,5794,3,875,129,1,2,1,Pass
927,1,0,1108,862,4576,3,1306,1676,1,1,0,Pass
459,0,0,6854,973,7378,0,1593,558,0,1,0,Pass
907,1,0,403,808,2635,2,1955,1615,0,0,1,Pass
13,1,0,7104,70,7340,1,1927,1297,1,0,1,Pass
1342,1,1,8649,299,8540,3,19,1590,1,1,0,Pass
1549,1,0,8352,569,2556,0,1401,665,1,1,0,Pass
771,0,1,5115,445,8876,1,1285,1394,0,1,0,Pass
56,0,1,9119,653,5158,2,1104,1146,0,2,1,Pass
1464,1,1,6036,327,6542,3,1628,1462,1,1,1,Pass
1324,0,1,8141,453,6284,2,20,1272,1,2,1,Pass
1693,1,1,7324,100,8639,1,71,1832,1,1,2,Pass
555,1,0,1449,763,3239,0,729,794,0,0,2,Pass
355,0,0,8582,608,5158,2,191,1665,1,0,1,Pass
23,0,1,8504,894,3019,2,989,1544,1,0,1,Pass
335,0,0,4907,35,3268,1,1477,1865,0,2,1,Pass
1476,1,1,5883,173,8982,0,854,1710,0,0,1,Pass
533,1,0,3139,716,4307,2,1383,877,0,2,0,Pass
1914,1,0,6012,610,5041,2,23,424,1,0,1,Pass
1694,1,1,9452,815,7770,2,667,777,0,2,0,Pass
353,0,0,8720,961,6876,0,475,52,0,0,1,Pass
562,0,0,3727,487,2406,2,1793,1838,0,0,0,Pass
164,1,0,4437,311,9332,2,631,884,0,0,1,Pass
127,1,0,3680,573,7488,3,308,94,1,2,2,Pass
1503,0,0,3219,75,4031,2,283,1977,0,1,1,Pass
1009,1,1,4381,569,44,1,520,1164,1,0,1,Pass
1297,1,0,6173,281,412,3,1792,1738,1,0,0,Pass
1561,0,0,4189,916,743,2,1852,637,1,0,0,Pass
235,0,1,896,579,2390,1,106,1563,0,2,0,Pass
727,0,0,5745,429,6103,0,488,650,0,0,2,Pass
1840,1,0,1426,679,6753,0,101,775,0,2,0,Pass
976,1,0,1030,569,2397,3,590,285,1,0,2,Pass
931,1,0,2787,652,6555,2,586,1640,0,2,0,Pass
1033,1,1,4911,465,7076,2,1579,1328,1,1,1,Pass
557,0,0,2733,645,8635,2,762,538,1,1,0,Pass
1130,0,0,1309,137,882,0,550,385,0,2,0,Pass
565,0,0,3654,669,1155,2,1248,284,1,2,0,Pass
941,0,1,8617,260,629,1,1054,689,1,0,2,Pass
1863,1,1,508,250,672,3,1538,799,1,0,2,Pass
1821,1,0,3815,1,8726,0,1886,1937,1,2,0,Pass
1406,0,1,7622,492,5591,2,1631,1925,1,0,2,Pass
1881,0,0,6548,2,7992,3,1179,1940,1,0,1,Pass
1994,0,0,8168,211,8440,0,1409,1348,0,0,0,Pass
1951,0,0,8119,40,9432,3,1844,16,1,0,1,Pass
1595,0,1,9086,557,2957,1,1915,1633,1,0,0,Pass
1825,0,1,306,729,7789,1,544,814,1,0,2,Pass
1941,1,0,6814,973,9787,1,1626,1334,0,0,1,Pass
1171,1,0,4416,707,696,3,1857,806,1,1,1,Pass
1995,1,1,7321,238,6446,2,1559,429,0,0,1,Pass
1692,1,0,1223,887,3395,1,1030,149,0,0,1,Pass
660,0,1,6457,695,5984,1,721,1636,0,2,2,Pass
1905,1,0,5479,687,4852,3,179,1879,0,2,1,Pass
985,1,0,3299,332,8098,3,662,1768,0,2,2,Pass
1150,0,0,4280,537,4458,3,1225,430,0,1,1,Pass
518,1,1,4629,188,1919,0,1370,1050,1,0,1,Pass
1038,0,1,8110,98,7550,3,1603,857,0,2,0,Pass
149,1,1,8008,910,1486,1,1804,381,0,2,2,Pass
1710,0,0,1479,36,4754,2,997,1822,0,1,0,Pass
1703,1,1,9197,660,1743,1,343,470,0,0,0,Pass
15,1,1,2713,481,8307,1,1374,450,0,1,2,Pass
924,1,1,8834,32,1404,2,669,779,1,1,0,Pass
1585,1,0,8119,622,3417,3,198,812,1,0,2,Pass
1046,0,1,3693,58,2760,2,220,501,0,2,1,Pass
1193,0,1,1004,986,2004,3,1263,1638,0,1,2,Pass
282,1,0,5390,289,9218,1,316,1791,1,2,2,Pass
252,0,0,3613,309,4239,2,519,300,0,0,2,Pass
159,1,0,9216,758,129,3,1581,374,0,1,0,Pass
1219,0,0,1481,746,9616,2,1426,492,0,0,2,Pass
878,0,1,9255,413,6344,0,1820,1351,0,1,2,Pass
1973,1,0,1163,13,4853,3,1507,356,1,0,2,Pass
497,1,1,4801,748,82,1,1326,613,1,0,1,Pass
625,0,0,742,150,7,1,1970,776,0,1,0,Pass
245,1,1,2728,282,7029,1,914,1857,0,1,1,Pass
370,0,0,2486,246,4073,2,1958,282,0,2,0,Pass
1736,1,1,1069,506,7426,3,1329,1152,1,0,1,Pass
393,1,0,7732,949,5496,3,1083,497,1,2,0,Pass
412,1,0,4909,982,4706,0,1759,1513,1,1,2,Pass
1031,0,1,4657,115,1866,3,1275,420,0,2,2,Pass
1363,0,1,9486,573,6297,2,666,1748,1,2,1,Pass
1,0,1,6952,772,2130,3,1000,12,0,0,2,Pass
961,1,1,9873,991,1413,2,1305,317,1,1,2,Pass
1947,0,1,8847,683,4745,0,1006,1973,1,0,1,Pass
1102,0,1,5265,644,4334,2,958,1984,1,2,2,Pass
1998,1,0,9781,360,277,1,837,734,1,2,0,Pass
818,1,1,1809,408,838,1,947,1547,0,0,2,Pass
339,1,0,1747,722,7589,0,1691,133,0,1,1,Pass
1432,0,0,3584,418,6473,0,958,1184,1,1,2,Pass
1813,1,0,9742,439,2626,3,1388,701,1,0,2,Pass
1612,0,1,55,937,6300,3,304,1233,1,2,1,Pass
196,1,0,8434,719,5453,1,93,601,1,0,0,Pass
222,1,0,183,511,3185,1,1888,1826,0,1,2,Pass
13,1,0,7,478,5270,0,1579,222,0,2,2,Pass
1517,1,0,7086,943,2400,3,1875,187,0,2,1,Pass
228,0,0,2943,720,8193,2,1199,166,0,1,2,Pass
1868,1,0,6514,15,1053,3,1910,1764,1,0,0,Pass
827,1,1,3604,19,7282,1,171,1096,1,1,0,Pass
785,0,0,2323,942,6183,3,880,1719,0,1,2,Pass
824,1,0,3613,33,8817,1,1069,305,0,0,0,Pass
1138,1,1,1628,655,8822,1,611,1266,0,1,2,Pass
451,1,0,2680,67,5060,3,266,95,0,0,0,Pass
1623,1,1,1218,573,3915,0,267,1667,1,2,2,Pass
1430,1,0,4816,503,1035,2,2,288,0,1,2,Pass
252,1,1,2817,374,6739,2,780,955,0,1,2,Pass
1020,1,1,5591,924,5422,2,1425,152,0,1,2,Pass
1068,1,1,5268,34,8291,1,1830,1693,1,2,0,Pass
420,1,0,299,314,3344,3,1962,457,0,1,0,Pass
1511,0,1,764,217,507,2,1443,221,0,0,2,Pass
1212,0,1,6212,19,3406,0,1709,106,0,2,2,Pass
1933,1,1,1414,785,4005,0,1159,1473,0,2,2,Pass
678,1,1,4290,141,574,3,1185,1170,1,2,2,Pass
386,0,0,1161,662,7605,1,349,1795,0,2,1,Pass
23,0,1,8898,886,9763,0,297,874,1,0,0,Pass
201,0,1,9220,72,9418,3,1743,333,1,2,0,Pass
1987,1,0,7544,223,8294,2,1602,1183,0,1,0,Pass
841,1,1,6035,137,5722,1,1789,365,1,0,0,Pass
755,0,1,4373,2,3357,2,1969,1181,0,0,1,Pass
