@relation sheet
@attribute in1 real
@attribute in2 real
@attribute in3 real
@attribute in4 real
@attribute in5 real
@attribute in6 real
@attribute in7 real
@attribute in8 real
@attribute in9 real
@attribute in10 real
@attribute in11 real
@attribute in12 real
@attribute class {Pass,Fail}
@data
1118,1,1,9997,142,91,3,1853,1118,1,0,0,Pass
40,1,0,2702,628,4215,1,1015,1324,0,1,0,Pass
788,1,1,7500,719,6504,0,1340,1252,0,0,1,Pass
871,0,0,2171,76,4316,0,1678,1199,1,1,1,Pass
1503,1,0,2778,561,7288,0,235,1920,0,1,0,Pass
529,1,1,7130,213,7768,2,200,760,0,0,0,Pass
151,0,1,5382,398,9470,1,528,607,1,2,1,Pass
303,1,1,641,546,3470,2,1681,487,0,1,0,Pass
102,0,0,5288,661,1547,1,620,1874,1,2,2,Pass
395,1,0,317,57,4569,2,1184,251,1,0,2,Pass
695,0,1,1061,875,2567,1,1705,730,0,2,0,Pass
1746,0,0,6071,529,7104,1,1170,408,0,1,2,Pass
104,1,1,9882,897,4326,2,1436,154,0,0,1,Pass
818,1,1,1602,509,738,2,1522,818,0,1,2,Pass
1593,1,0,2783,226,595,3,1220,408,1,1,1,Pass
1357,1,1,2218,727,8985,0,1843,1408,1,1,0,Pass
971,0,0,6372,66,7686,0,1015,685,0,0,2,Pass
1333,0,1,6405,630,3353,2,1763,203,0,0,1,Pass
339,0,1,2694,161,4655,2,1626,1537,1,1,1,Pass
654,0,0,2004,505,5760,1,1001,92,1,2,2,Pass
293,1,1,330,46,3915,3,360,1793,1,0,0,Pass
624,0,0,1425,338,1574,1,1542,994,1,0,2,Pass
1354,0,1,158,421,9357,2,1288,377,0,1,2,Pass
291,1,1,5552,437,9261,1,614,90,0,1,0,Pass
1867,0,0,3630,210,8357,2,538,506,1,1,1,Pass
754,1,0,6241,479,7553,3,1070,1894,0,2,0,Pass
1427,0,0,2331,699,3516,0,921,918,0,0,2,Pass
745,0,1,380,120,6072,2,766,264,1,1,1,Pass
881,0,1,2340,275,1716,2,729,896,1,0,1,Pass
1687,0,0,4242,601,6130,2,1727,996,1,2,2,Pass
1525,1,1,8288,258,5066,1,1673,477,1,1,2,Pass
1885,0,1,8545,479,2136,1,1892,98,1,1,0,Pass
1455,0,0,3760,439,6678,1,1280,278,0,1,2,Pass
238,0,1,2254,79,6223,2,652,57,0,0,2,Pass
1988,1,1,1760,879,7848,2,979,581,0,2,0,Pass
653,1,1,1195,784,2724,1,1613,1782,0,1,0,Pass
169,0,1,357,379,3980,1,1052,36,0,0,0,Pass
723,0,1,2818,469,8256,3,777,212,0,0,2,Pass
1319,0,0,2480,391,9958,3,1202,977,0,0,1,Pass
647,0,0,391,730,1268,0,427,770,1,1,2,Pass
661,1,0,9768,630,117,0,406,1389,0,0,1,Pass
1269,1,0,1112,170,1661,1,873,1937,1,2,1,Pass
450,0,0,7601,464,194,3,771,1289,0,2,0,Pass
1592,0,1,8015,848,7184,3,818,947,1,0,0,Pass
57,0,1,9482,252,4720,2,1516,936,0,1,2,Pass
864,1,1,8653,555,6477,1,1712,1662,0,0,0,Pass
1467,1,1,6793,855,4508,3,1936,689,0,0,0,Pass
1757,1,0,1598,441,7199,0,454,1815,0,1,0,Pass
1049,1,0,8977,899,6652,0,1896,842,0,1,1,Pass
131,0,0,1243,6,9768,0,1217,1064,0,1,2,Pass
1912,0,1,6043,681,547,2,678,990,1,1,1,Pass
981,1,1,1266,762,248,2,793,684,0,1,2,Pass
476,1,0,5262,977,2699,3,646,1001,0,2,2,Pass
1658,0,1,7822,607,7974,1,1808,446,0,1,2,Pass
622,1,0,5593,493,4968,0,719,1943,1,2,2,Pass
1772,1,1,644,864,8627,0,672,990,1,0,1,Pass
262,0,1,902,507,538,2,194,826,0,2,0,Pass
452,1,0,8706,100,1389,1,176,1340,0,0,1,Pass
1618,0,0,9145,888,9785,3,1704,1953,0,2,2,Pass
703,0,1,3744,50,120,3,1759,859,1,0,1,Pass
1390,0,1,1485,278,9689,1,374,642,1,0,1,Pass
1357,0,0,1554,684,6421,3,1925,640,0,1,1,Pass
971,1,0,6572,751,1559,2,843,1074,0,2,2,Pass
670,1,0,8275,653,8189,1,1160,481,0,2,2,Pass
1305,1,1,1398,328,9608,1,1823,1448,1,2,0,Pass
180,0,1,8089,962,6470,3,1379,1335,0,1,1,Pass
861,1,1,1142,856,7040,1,852,254,0,2,2,Pass
388,0,1,1782,637,3259,0,1550,381,0,0,1,Pass
1596,0,1,6035,959,3959,1,743,144,1,1,1,Pass
1301,0,0,1860,102,7015,0,924,1616,1,2,2,Pass
1967,1,1,4620,600,5236,1,495,1516,1,1,0,Pass
1088,1,0,2919,817,1161,1,1559,1438,0,1,1,Pass
526,0,1,9226,463,6660,2,1851,928,0,1,2,Pass
1631,1,1,9054,620,160,1,1076,1367,0,1,2,Pass
309,1,1,8080,229,1474,2,1303,1216,0,1,2,Pass
1535,1,1,6864,271,895,3,1444,543,0,0,1,Pass
1554,1,0,4749,232,3264,1,1030,143,1,0,2,Pass
814,1,1,9073,618,2648,3,1584,1994,0,0,1,Pass
341,1,1,2023,60,651,0,1096,657,1,0,2,Pass
542,0,1,1981,115,4195,1,1434,607,0,2,1,Pass
719,0,1,7279,117,7786,3,324,848,0,0,1,Pass
657,1,1,4123,774,8886,1,97,1383,1,1,1,Pass
837,0,0,3794,602,2606,1,749,1796,1,2,0,Pass
1148,1,1,9258,939,878,1,1708,1547,1,2,1,Pass
667,0,0,5221,741,9425,2,1679,1417,1,0,1,Pass
85,0,1,789,28,9155,3,204,1018,0,2,0,Pass
1050,0,0,5591,558,2153,2,1825,478,0,0,1,Pass
709,0,0,6129,860,3207,3,622,193,0,2,0,Pass
1659,0,0,7986,20,1253,3,244,1201,0,1,0,Pass
1606,0,0,2253,858,7558,3,1285,914,0,2,0,Pass
602,1,1,9353,293,8541,1,1713,437,0,1,2,Pass
918,1,1,2911,693,7094,0,1874,415,1,0,2,Pass
244,1,0,8489,474,6053,3,877,525,1,1,0,Pass
260,1,0,5548,543,1590,0,414,380,1,0,0,Pass
1673,0,1,7418,364,6921,2,1335,1231,1,1,1,Pass
1119,1,0,5695,243,7777,3,557,161,1,0,2,Pass
92,0,0,9582,74,4161,2,119,866,1,0,1,Pass
1514,0,0,943,31,1339,3,460,902,0,0,1,Pass
671,1,0,479,801,3837,1,144,944,0,2,2,Pass
27,1,1,6140,930,6097,2,498,885,0,0,2,Pass
552,1,1,7140,723,1384,2,1373,1573,1,1,0,Pass
1768,0,1,1441,807,6044,3,898,540,1,2,1,Pass
1759,1,1,7291,617,2088,0,470,799,1,0,2,Pass
137,0,0,4658,586,7405,0,1013,586,1,1,2,Pass
1038,0,0,2239,121,4235,0,1819,220,1,0,0,Pass
1738,1,0,3998,543,3824,1,34,1934,1,1,1,Pass
320,1,1,2210,834,3258,0,1398,48,0,0,1,Pass
438,0,1,5341,894,7532,2,1769,107,1,2,2,Pass
612,0,0,1298,636,3575,1,43,1598,0,0,2,Pass
909,1,0,4993,578,8848,3,498,1367,1,0,2,Pass
792,0,1,8598,489,7921,2,298,1914,0,1,0,Pass
1888,0,0,2279,53,2391,3,1233,1047,1,2,1,Pass
1630,1,0,8577,111,8446,0,1338,478,1,2,0,Pass
464,0,0,3366,22,7219,3,868,5,1,1,2,Pass
1227,1,0,4236,916,2574,0,734,1346,1,0,0,Pass
51,1,1,8957,412,4611,1,1825,396,1,1,1,Pass
1731,0,1,9967,353,6382,1,866,83,1,0,1,Pass
1135,0,0,4023,577,5792,2,187,919,1,2,2,Pass
511,0,0,4951,536,2545,0,910,941,0,0,1,Pass
110,1,1,426,897,9402,2,1405,886,0,1,2,Pass
1768,1,0,1328,223,7718,2,1712,1522,1,2,0,Pass
1129,1,0,3922,569,7966,1,1356,1289,1,2,2,Pass
1689,1,0,1595,203,8920,1,1445,1649,1,2,2,Pass
1406,0,1,7305,913,4722,3,1464,595,0,2,1,Pass
1666,0,1,503,550,7303,2,671,1968,1,0,1,Pass
731,1,1,785,242,6950,2,890,1497,1,2,2,Pass
928,0,1,2187,530,2467,1,942,516,0,0,1,Pass
1024,1,0,7606,609,724,1,422,1441,0,0,0,Pass
1671,0,1,8088,788,8464,3,955,212,1,2,2,Pass
82,1,0,9503,163,9791,1,1240,533,0,2,2,Pass
569,1,1,634,699,3457,2,1366,282,0,2,0,Pass
355,0,0,6300,840,4565,2,1497,974,0,1,1,Pass
748,1,1,487,751,6240,3,1454,1618,1,1,2,Pass
587,0,0,5432,529,8831,3,1098,1481,0,0,0,Pass
1384,0,0,4733,483,1123,2,1752,922,1,0,1,Pass
1827,0,1,584,154,2655,3,1510,1750,0,0,0,Pass
967,0,1,6870,884,9256,3,1541,1921,0,2,0,Pass
1189,1,1,2952,593,4080,1,1811,1413,1,2,0,Pass
901,1,1,4917,160,9271,1,559,441,1,0,2,Pass
1470,0,0,7859,126,8248,2,1664,552,1,1,0,Pass
1118,0,1,1497,864,2837,0,170,869,0,2,2,Pass
1789,1,0,8011,961,7544,0,1287,1140,1,1,0,Pass
1315,0,0,56,447,4174,1,1606,1452,0,1,2,Pass
81,0,0,9051,568,9480,0,1083,688,1,2,2,Pass
1365,1,1,6980,714,5272,0,1514,1220,0,0,0,Pass
415,1,1,9995,287,9438,1,729,1461,0,2,0,Pass
873,0,1,8169,862,5094,2,1369,1497,0,1,2,Pass
1067,0,1,2442,118,2615,2,1145,1260,1,1,0,Pass
979,1,0,699,781,4465,2,400,740,1,0,2,Pass
123,1,1,6180,743,1979,3,253,580,0,0,0,Pass
1228,1,1,9242,618,8095,1,53,1557,0,1,2,Pass
504,1,1,3292,582,5771,0,1343,219,1,1,0,Pass
397,1,0,6112,145,3294,2,1383,1578,1,0,1,Pass
749,1,0,7122,776,2229,0,886,1520,1,0,0,Pass
242,1,0,6208,353,4249,0,1075,1846,1,0,2,Pass
1542,0,1,7325,733,5405,3,161,296,1,2,1,Pass
664,1,1,7032,91,5472,1,1724,1820,1,0,0,Pass
626,1,0,3216,407,853,3,472,375,1,2,2,Pass
1744,0,1,4830,512,3074,2,192,1394,0,2,1,Pass
1347,1,0,9495,209,2244,0,592,1922,1,1,1,Pass
634,0,1,4517,319,6,1,392,1503,1,0,0,Pass
857,0,0,8969,953,881,3,1047,36,1,2,2,Pass
827,1,1,8760,661,1324,0,1143,1629,0,2,1,Pass
1691,0,0,3495,486,7256,2,338,1063,1,2,1,Pass
1961,1,0,8044,316,4495,0,1433,312,0,1,2,Pass
1887,0,1,1882,523,1521,3,1733,807,0,2,1,Pass
1322,0,0,1137,573,1652,1,1012,398,0,2,2,Pass
1949,1,0,8056,52,2783,0,1626,499,1,0,1,Pass
1033,1,0,9983,591,8955,2,1049,1678,0,1,2,Pass
1985,0,1,9454,957,9294,2,1958,556,1,2,2,Pass
1841,0,0,4716,302,3931,1,1186,1530,1,0,0,Pass
102,0,0,3557,214,8162,1,1114,437,1,0,1,Pass
1009,1,1,9315,509,1145,2,1956,1925,1,0,2,Pass
1084,1,0,335,770,6173,2,1214,18,1,0,1,Pass
1687,1,1,9005,486,6385,2,1149,662,1,1,2,Pass
1172,1,0,4938,99,552,1,1255,1145,1,0,2,Pass
213,1,1,6379,141,9881,1,453,99,1,1,2,Pass
1631,0,1,4283,264,8599,2,113,660,0,1,0,Pass
720,0,1,4568,985,3268,1,1072,40,1,2,1,Pass
403,0,1,6498,729,3193,2,1140,1678,0,0,0,Pass
460,0,1,3833,778,2523,3,1448,606,1,2,2,Pass
1143,0,0,9307,534,9108,0,417,306,0,0,2,Pass
306,1,0,3167,157,5955,3,6,1637,0,1,0,Pass
1826,0,0,7913,963,555,1,980,144,1,1,1,Pass
811,0,0,4627,788,1421,2,585,1484,1,1,2,Pass
65,1,1,1004,816,730,3,163,584,1,1,2,Pass
1379,1,0,3592,760,576,3,1836,1027,1,0,1,Pass
1247,1,0,891,642,1975,3,892,830,1,1,1,Pass
1207,0,0,7483,872,2880,3,323,64,0,2,1,Pass
1914,0,1,5913,283,1265,0,425,1685,0,0,1,Pass
1736,0,0,5796,239,6537,0,540,1640,1,2,2,Pass
1397,0,1,6675,304,7764,3,190,1204,1,0,1,Pass
1542,1,1,8197,954,6866,2,1969,82,0,2,0,Pass
1137,0,1,5710,710,4930,2,1800,1844,1,2,2,Pass
1254,1,1,6664,872,5117,0,995,1897,1,2,0,Pass
372,1,0,4700,349,3657,0,526,896,0,0,0,Pass
1502,1,0,2596,529,5684,3,127,247,1,1,2,Pass
1939,0,1,5094,126,1250,1,370,53,0,2,0,Pass
1316,1,1,9959,600,1852,1,811,682,0,1,2,Pass
1704,0,1,4306,389,4398,2,47,1489,1,0,2,Pass
1971,0,0,8443,938,3429,0,1016,1491,1,2,1,Pass
1005,0,1,2813,872,6890,2,1180,1092,1,2,0,Pass
1190,1,0,3957,813,6278,0,1712,403,0,2,2,Pass
1407,0,0,5536,311,3755,2,230,210,0,0,1,Pass
1628,0,1,9632,299,9908,0,8,1310,1,2,2,Pass
13,0,0,3214,131,3729,0,1288,640,1,2,0,Pass
787,0,1,4676,53,1882,2,494,104,0,1,1,Pass
1207,1,0,7091,631,71,1,725,451,1,1,2,Pass
1581,0,1,7043,640,8209,0,1563,1035,1,0,1,Pass
672,1,0,5125,690,3663,2,107,324,1,0,0,Pass
575,0,0,9081,20,2600,1,128,879,1,0,0,Pass
1580,1,1,9285,956,249,0,881,687,1,1,2,Pass
205,1,1,3147,936,3995,2,699,1137,0,1,0,Pass
1555,1,1,925,597,8796,2,360,1104,0,2,1,Pass
1792,1,1,3527,904,399,1,866,238,1,0,1,Pass
605,1,0,8385,946,9193,0,859,118,0,2,0,Pass
1793,1,1,1929,192,4834,1,677,197,1,1,0,Pass
1381,0,1,8769,584,6606,2,929,673,1,0,2,Pass
1212,1,0,4466,719,3182,2,1967,649,1,2,1,Pass
1336,1,1,7284,175,3327,0,1545,867,0,2,2,Pass
1823,0,1,1297,750,3237,3,324,941,0,2,2,Pass
1619,1,0,1966,920,5053,1,652,35,1,0,2,Pass
360,0,1,397,62,197,1,451,1111,1,1,0,Pass
1432,1,0,6361,144,5842,2,1758,310,0,2,0,Pass
1931,0,0,2199,198,4229,2,1011,1870,1,1,2,Pass
186,1,1,9342,588,8209,2,379,1493,0,1,0,Pass
202,1,0,2011,827,1412,3,825,1852,1,1,2,Pass
157,0,1,8364,444,4377,1,1884,139,1,1,0,Pass
1931,1,1,4350,231,6719,2,559,1582,0,2,1,Pass
104,0,1,3117,225,1905,2,1010,404,0,0,0,Pass
87,0,0,9584,148,811,1,972,943,1,1,0,Pass
531,1,0,5815,464,6828,0,1832,1183,1,1,1,Pass
950,1,1,5594,70,4981,3,1185,1889,1,0,0,Pass
362,1,0,7495,53,1685,2,884,1501,1,0,0,Pass
260,0,0,4496,941,1079,2,1737,517,0,2,2,Pass
1592,1,1,7543,944,5922,1,213,1153,0,0,2,Pass
1903,1,1,5663,41,6597,0,1543,1503,1,2,1,Pass
670,0,0,9832,532,980,3,1573,878,0,2,1,Pass
1016,0,0,6702,380,4858,3,138,387,1,2,0,Pass
1530,1,1,7366,108,3044,2,726,1645,0,1,2,Pass
